Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (kph),Distance (km),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/km)
2023-08-05 08:52 (CDT),On Demand,Callie Gullickson,20,Strength,Full Body,20 min Strength Roll Call: Full Body,2023-07-28 06:23 (CDT),,,,,,,128,86.73,,
2023-08-05 09:18 (CDT),On Demand,Emma Lovewell,5,Strength,Core,5 min Core Strength,2023-07-16 11:55 (CDT),,,,,,,30,,,
2023-08-05 09:24 (CDT),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2023-05-08 01:00 (CDT),,,,,,,31,74.19,,
2023-08-05 14:39 (CDT),On Demand,Nico Sarani,10,Meditation,Sleep,10 min Sleep Meditation,2023-07-06 10:00 (CDT),,,,,,,,,,
2023-08-06 07:04 (-05),On Demand,Olivia Amato,45,Cycling,Power Zone,45 min Power Zone Ride,2023-08-03 04:55 (-05),508,188,48%,84,32.85,24.64,668,,,
2023-08-06 07:50 (-05),On Demand,Emma Lovewell,5,Cycling,Cool Down,5 min Cool Down Ride,2023-02-06 11:00 (-05),16,54,31%,75,19.36,1.61,21,,,
2023-08-06 08:00 (-05),On Demand,Hannah Frankson,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2023-07-28 01:00 (-05),,,,,,,15,,,
2023-08-07 13:15 (CDT),On Demand,Ben Alldis,20,Strength,Full Body,20 min Strength Roll Call: Full Body,2023-01-23 06:24 (CDT),,,,,,,137,99.97,,
2023-08-07 13:38 (CDT),On Demand,Callie Gullickson,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2023-06-29 01:00 (CDT),,,,,,,29,70.06,,
2023-08-09 05:34 (-05),On Demand,Ben Alldis,30,Cycling,Power Zone,30 min Power Zone Endurance 80s Ride,2023-08-06 07:55 (-05),318,177,48%,80,32.33,16.17,338,127.19,,
2023-08-09 06:05 (-05),On Demand,Leanne Hainsby-Alldis,5,Cycling,Cool Down,5 min Cool Down Ride,2023-06-16 01:00 (-05),32,107,41%,76,26.26,2.19,52,124.00,,
2023-08-09 06:15 (-05),On Demand,Jenn Sherman,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2022-06-01 10:00 (-05),,,,,,,31,95.46,,
2023-08-10 06:24 (CDT),On Demand,Anna Greenberg,5,Meditation,Morning,5 min Morning Meditation,2023-08-09 10:00 (CDT),,,,,,,,,,
2023-08-11 05:54 (-05),On Demand,Mila Lazar,30,Cycling,Music,30 min House Ride,2023-08-04 10:25 (-05),336,187,50%,79,32.80,16.40,442,,,
2023-08-11 06:26 (-05),On Demand,Erik Jager,5,Cycling,Cool Down,5 min Cool Down Ride,2023-07-27 00:15 (-05),36,119,42%,76,27.50,2.30,47,,,
2023-08-11 06:35 (-05),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2023-08-11 03:00 (-05),,,,,,,15,,,
2023-08-12 04:23 (PDT),On Demand,Aditi Shah,10,Meditation,Sleep,10 min Sleep Meditation,2023-06-14 08:00 (PDT),,,,,,,,,,
2023-08-12 04:37 (PDT),On Demand,Aditi Shah,10,Meditation,Sleep,10 min Sleep Meditation,2023-06-14 08:00 (PDT),,,,,,,,,,
2023-08-12 14:07 (PDT),On Demand,Ben Alldis,5,Stretching,Lower Body Stretch,5 min Lower Body Stretch,2023-06-21 03:48 (PDT),,,,,,,15,,,
2023-08-13 09:38 (PDT),On Demand,Hannah Corbin,10,Strength,Barre,10 min Barre,2021-06-09 07:00 (PDT),,,,,,,59,,,
2023-08-13 09:50 (PDT),On Demand,Susie Chan,5,Stretching,Post-Run Stretch,5 min Post-Run Stretch,2022-05-02 22:00 (PDT),,,,,,,15,,,
2023-08-13 09:56 (PDT),On Demand,Emma Lovewell,5,Strength,Core,5 min Core Strength,2023-05-12 08:00 (PDT),,,,,,,,,,
2023-08-13 15:43 (PDT),On Demand,Tobias Heinze,5,Stretching,Post-Run Stretch,5 min Post-Run Stretch,2023-07-31 08:00 (PDT),,,,,,,15,,,
2023-08-13 17:31 (PDT),On Demand,Anna Greenberg,10,Meditation,Relaxation,10 min Relaxing Meditation,2023-05-16 09:39 (PDT),,,,,,,,,,
2023-08-13 20:51 (PDT),On Demand,Assal Arian,10,Stretching,Full Body Stretch,10 min Summer Break Full Body Stretch,2023-07-30 22:00 (PDT),,,,,,,30,,,
2023-08-15 06:24 (CDT),On Demand,Ben Alldis,20,Strength,Full Body,20 min Tropical House Full Body Strength,2023-07-31 05:25 (CDT),,,,,,,118,,,
2023-08-15 06:47 (CDT),On Demand,Ben Alldis,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2023-06-29 07:03 (CDT),,,,,,,29,,,
2023-08-15 06:58 (CDT),On Demand,Kirra Michel,5,Meditation,Meditation Basics,5 min Basics: Breath,2023-03-29 09:00 (CDT),,,,,,,,,,
2023-08-16 17:14 (-05),On Demand,Erik Jager,30,Cycling,Power Zone,30 min Power Zone Endurance German Pop,2023-07-18 12:24 (-05),292,162,45%,83,31.09,15.55,384,,,
2023-08-16 17:44 (-05),On Demand,Charlotte Weidenbach,5,Cycling,Cool Down,5 min Cool Down Ride,2022-10-19 11:26 (-05),31,105,40%,78,26.05,2.17,41,,,
2023-08-16 17:52 (-05),On Demand,Benny Adami,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2023-06-01 03:00 (-05),,,,,,,15,,,
