Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (kph),Distance (km),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/km)
2021-07-17 12:03 (-05),On Demand,Mayla Wedekind,30,Cycling,Music,30 min Rock Ride,2021-06-27 23:55 (-05),282,157,47%,79,30.59,15.30,377,,,
2021-07-17 12:34 (-05),On Demand,Mayla Wedekind,5,Cycling,Cool Down,5 min Cool Down Ride,2021-07-08 11:31 (-05),29,95,38%,78,25.14,2.09,38,,,
2021-07-18 07:46 (CDT),On Demand,Leanne Hainsby-Alldis,10,Strength,Arms & Light Weights,10 min Arms & Light Weights,2021-07-12 13:02 (CDT),,,,,,,62,,,
2021-07-18 10:24 (CDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 14:03 (CDT),,,,,,,62,,,
2021-07-19 11:21 (-05),On Demand,Leanne Hainsby-Alldis,30,Cycling,Music,30 min 90s Rock Ride,2021-07-07 11:25 (-05),268,149,44%,83,30.19,15.10,359,,,
2021-07-19 11:51 (-05),On Demand,Leanne Hainsby-Alldis,5,Cycling,Cool Down,5 min Spice Girls Cool Down Ride,2021-07-13 13:05 (-05),20,67,34%,77,21.66,1.79,27,,,
2021-07-19 12:07 (CDT),On Demand,Bradley Rose,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-04-06 00:45 (CDT),,,,,,,15,,,
2021-07-21 19:32 (-05),On Demand,Bradley Rose,30,Cycling,Music,30 min 90s Rock Ride,2021-07-21 13:00 (-05),229,127,41%,87,28.44,14.23,306,,,
2021-07-21 20:04 (-05),On Demand,Bradley Rose,5,Cycling,Cool Down,5 min Cool Down Ride,2021-04-06 00:35 (-05),19,65,34%,73,21.53,1.79,26,,,
2021-07-21 20:16 (CDT),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-07-19 03:45 (CDT),,,,,,,15,,,
2021-07-23 06:38 (CDT),On Demand,Leanne Hainsby-Alldis,10,Strength,Arms & Light Weights,10 min Arms & Light Weights,2021-07-12 13:02 (CDT),,,,,,,62,,,
2021-07-23 06:55 (CDT),On Demand,Emma Lovewell,5,Strength,Core,5 min Core Strength,2019-12-21 07:30 (CDT),,,,,,,31,,,
2021-07-25 12:01 (PDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 12:03 (PDT),,,,,,,62,,,
2021-07-25 12:19 (PDT),On Demand,Selena Samuela,10,Strength,Bodyweight,10 min Bodyweight Strength,2020-07-18 07:00 (PDT),,,,,,,62,,,
2021-08-01 09:40 (-05),On Demand,Mayla Wedekind,30,Cycling,Music,30 min Indie Rock Ride,2021-08-01 07:30 (-05),279,155,45%,82,30.66,15.34,374,,,
2021-08-01 10:12 (-05),On Demand,Mayla Wedekind,5,Cycling,Cool Down,5 min Cool Down Ride,2021-07-08 11:31 (-05),29,96,40%,75,25.52,2.12,39,,,
2021-08-01 10:51 (CDT),On Demand,Bradley Rose,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-04-06 00:45 (CDT),,,,,,,15,,,
2021-08-02 07:13 (CDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 14:03 (CDT),,,,,,,62,,,
2021-08-03 15:57 (-05),On Demand,Emma Lovewell,30,Cycling,Music,30 min 90s Rock Ride,2021-07-26 06:50 (-05),275,153,46%,79,30.16,15.08,368,,,
2021-08-03 16:28 (-05),On Demand,Emma Lovewell,5,Cycling,Cool Down,5 min Cool Down Ride,2021-06-30 08:00 (-05),31,105,37%,86,26.30,2.19,42,,,
2021-08-03 16:37 (-05),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-05-04 08:00 (-05),,,,,,,15,,,
2021-08-05 07:02 (CDT),On Demand,Leanne Hainsby-Alldis,10,Strength,Arms & Light Weights,10 min Arms & Light Weights,2021-06-17 13:02 (CDT),,,,,,,62,,,
2021-08-05 17:08 (-05),On Demand,Erik Jager,30,Cycling,Music,30 min Metal Ride,2021-06-14 11:06 (-05),269,150,47%,78,30.06,15.03,361,,,
2021-08-05 17:40 (-05),On Demand,Erik Jager,5,Cycling,Cool Down,5 min Cool Down Ride,2021-06-07 08:30 (-05),16,54,30%,80,19.86,1.66,22,,,
2021-08-05 17:50 (-05),On Demand,Bradley Rose,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-04-06 00:45 (-05),,,,,,,15,,,
2021-08-06 09:50 (CDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 14:03 (CDT),,,,,,,62,,,
2021-08-07 06:44 (CDT),On Demand,Selena Samuela,10,Strength,Bodyweight,10 min Bodyweight Strength,2020-07-18 09:00 (CDT),,,,,,,62,,,
2021-08-07 11:24 (-05),On Demand,Leanne Hainsby-Alldis,30,Cycling,Music,30 min 2000s Rock Ride,2021-08-05 09:30 (-05),278,155,46%,81,30.66,15.34,373,,,
2021-08-07 11:57 (-05),On Demand,Leanne Hainsby-Alldis,5,Cycling,Cool Down,5 min Cool Down Ride,2021-06-21 00:25 (-05),26,85,38%,73,23.50,1.96,34,,,
2021-08-07 12:11 (-05),On Demand,Leanne Hainsby-Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-09-19 09:45 (-05),,,,,,,15,,,
2021-08-09 17:17 (-05),On Demand,Mayla Wedekind,5,Cycling,Warm Up,5 min Warm Up Ride,2021-08-03 10:55 (-05),26,87,33%,89,24.17,2.01,35,,,
2021-08-09 17:23 (-05),On Demand,Mayla Wedekind,20,Cycling,Intervals,20 min Tabata Ride,2021-07-10 08:30 (-05),212,177,53%,72,31.70,10.57,284,,,
2021-08-09 17:44 (-05),On Demand,Mayla Wedekind,5,Cycling,Cool Down,5 min Cool Down Ride,2021-07-08 11:31 (-05),34,115,43%,75,27.58,2.29,46,,,
2021-08-09 17:53 (-05),On Demand,Leanne Hainsby-Alldis,10,Strength,Arms & Light Weights,10 min Arms & Light Weights,2021-07-12 13:02 (-05),,,,,,,62,,,
2021-08-09 18:06 (-05),On Demand,Bradley Rose,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-04-06 00:45 (-05),,,,,,,15,,,
2021-08-10 07:05 (CDT),On Demand,Callie Gullickson,10,Strength,Core,10 min Core Strength,2021-08-02 09:00 (CDT),,,,,,,62,,,
2021-08-12 16:56 (-05),On Demand,Cliff Dwenger,5,Cycling,Warm Up,5 min Warm Up Ride,2021-07-24 06:00 (-05),33,110,36%,92,26.96,2.24,44,,,
2021-08-12 17:02 (-05),On Demand,Cliff Dwenger,20,Cycling,Intervals,20 min HIIT Ride,2021-08-11 12:00 (-05),203,169,51%,76,31.37,10.46,272,,,
2021-08-12 17:22 (-05),On Demand,Cliff Dwenger,5,Cycling,Cool Down,5 min Cool Down Ride,2021-07-01 00:47 (-05),31,104,40%,78,26.18,2.17,42,,,
2021-08-12 17:31 (-05),On Demand,Leanne Hainsby-Alldis,10,Strength,Arms & Light Weights,10 min Arms & Light Weights,2021-07-12 13:02 (-05),,,,,,,62,,,
2021-08-12 17:43 (-05),On Demand,Bradley Rose,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-04-06 00:45 (-05),,,,,,,15,,,
2021-08-13 06:23 (CDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 14:03 (CDT),,,,,,,62,,,
2021-08-14 08:25 (CDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 14:03 (CDT),,,,,,,62,,,
2021-08-14 10:52 (-05),On Demand,Bradley Rose,30,Cycling,Music,30 min 90s Ride,2021-08-11 12:55 (-05),259,144,42%,90,29.82,14.90,347,,,
2021-08-14 11:25 (-05),On Demand,Bradley Rose,5,Cycling,Cool Down,5 min Cool Down Ride,2021-04-06 00:35 (-05),32,106,41%,76,26.57,2.20,42,,,
2021-08-14 11:34 (-05),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-07-19 03:45 (-05),,,,,,,15,,,
2021-08-15 07:35 (CDT),On Demand,Leanne Hainsby-Alldis,10,Strength,Arms & Light Weights,10 min Arms & Light Weights,2021-07-12 13:02 (CDT),,,,,,,62,,,
2021-08-16 06:39 (CDT),On Demand,Rad Lopez,10,Strength,Core,10 min Core Strength,2021-07-10 11:02 (CDT),,,,,,,62,,,
2021-08-17 17:50 (-05),On Demand,Irene Kaymer,30,Cycling,Intervals,30 min Tabata Ride,2021-05-23 09:00 (-05),289,160,50%,75,30.93,15.47,386,,,
2021-08-17 18:22 (-05),On Demand,Irene Kaymer,5,Cycling,Cool Down,5 min Cool Down Ride,2021-04-20 12:30 (-05),18,59,31%,76,20.54,1.71,23,,,
2021-08-17 18:31 (-05),On Demand,Irene Kaymer,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-11-20 03:00 (-05),,,,,,,15,,,
2021-08-19 06:32 (CDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 14:03 (CDT),,,,,,,62,,,
2021-08-19 16:55 (-05),On Demand,Leanne Hainsby-Alldis,10,Strength,Arms & Light Weights,10 min Arms & Light Weights,2021-07-12 13:02 (-05),,,,,,,62,,,
2021-08-19 17:10 (-05),On Demand,Bradley Rose,5,Cycling,Warm Up,5 min Warm Up Ride,2021-08-13 12:35 (-05),32,105,36%,91,26.18,2.17,42,,,
2021-08-19 17:16 (-05),On Demand,Olivia Amato,20,Cycling,Intervals,20 min Tabata Ride,2021-07-25 13:00 (-05),203,169,51%,71,30.56,10.19,271,,,
2021-08-19 17:37 (-05),On Demand,Bradley Rose,5,Cycling,Cool Down,5 min Cool Down Ride,2021-04-06 00:35 (-05),23,77,37%,74,22.95,1.92,31,,,
2021-08-19 17:44 (-05),On Demand,Bradley Rose,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-08-13 09:43 (-05),,,,,,,15,,,
2021-08-21 09:20 (CDT),On Demand,Anna Greenberg,10,Meditation,Theme,Zen in Ten,2021-06-09 07:37 (CDT),,,,,,,,,,
2021-08-22 09:24 (-05),On Demand,Mayla Wedekind,30,Cycling,Intervals,30 min HIIT & Hills Ride,2021-08-17 11:11 (-05),326,181,56%,67,32.03,16.01,436,,,
2021-08-22 09:56 (-05),On Demand,Mayla Wedekind,5,Cycling,Cool Down,5 min Cool Down Ride,2021-07-01 10:45 (-05),26,88,41%,70,24.61,2.04,35,,,
2021-08-22 10:08 (-05),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-07-19 03:45 (-05),,,,,,,15,,,
2021-08-23 07:00 (CDT),On Demand,Robin Arzon,10,Strength,Core,10 min Core Strength,2021-07-19 09:00 (CDT),,,,,,,61,,,
2021-08-23 15:41 (CDT),On Demand,Kristin McGee,5,Yoga,Yoga Anywhere,5 min Chair Yoga,2020-01-24 10:18 (CDT),,,,,,,18,,,
2021-08-24 06:22 (CDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 14:03 (CDT),,,,,,,61,,,
2021-08-24 11:59 (CDT),On Demand,Leanne Hainsby-Alldis,10,Strength,Arms & Light Weights,10 min Arms & Light Weights,2021-07-12 13:02 (CDT),,,,,,,61,,,
2021-08-24 12:15 (-05),On Demand,Bradley Rose,20,Cycling,Music,20 min 2010s Rock Ride,2021-08-15 03:55 (-05),180,150,44%,86,30.32,10.11,240,,,
2021-08-24 12:37 (-05),On Demand,Irene Kaymer,5,Cycling,Cool Down,5 min Cool Down Ride,2021-04-20 12:30 (-05),23,77,32%,90,23.38,1.95,31,,,
2021-08-24 12:46 (-05),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-07-19 03:45 (-05),,,,,,,15,,,
2021-08-26 15:05 (-05),On Demand,Mayla Wedekind,30,Cycling,Intervals,30 min HIIT & Hills Ride,2021-07-27 11:06 (-05),329,183,55%,68,31.85,15.93,439,,,
2021-08-26 15:36 (-05),On Demand,Mayla Wedekind,5,Cycling,Cool Down,5 min Cool Down Ride,2021-08-26 11:22 (-05),18,61,38%,63,20.94,1.74,25,,,
2021-08-26 15:49 (-05),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-07-19 03:45 (-05),,,,,,,15,,,
2021-08-26 19:40 (CDT),On Demand,Mayla Wedekind,30,Cycling,Intervals,30 min HIIT & Hills Ride,2021-07-27 11:06 (CDT),0,0,0%,0,0,0,0,,,
2021-08-27 06:17 (CDT),On Demand,Leanne Hainsby-Alldis,10,Strength,Arms & Light Weights,10 min Arms & Light Weights,2021-08-26 13:02 (CDT),,,,,,,80,,,
2021-08-28 07:23 (CDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 14:03 (CDT),,,,,,,61,,,
2021-08-28 07:43 (CDT),On Demand,Hannah Corbin,5,Strength,Lower Body,5 min Glutes & Legs Toning,2020-01-05 14:20 (CDT),,,,,,,30,,,
2021-08-29 09:00 (-05),On Demand,Bradley Rose,10,Strength,Arms & Light Weights,10 min Arms & Light Weights,2021-08-29 04:22 (-05),,,,,,,,,,
2021-08-29 09:22 (-05),On Demand,Matt Wilpers,30,Cycling,Music,30 min 90s Rock Ride,2021-08-26 06:53 (-05),282,157,44%,85,30.53,15.27,377,,,
2021-08-29 09:54 (-05),On Demand,Matt Wilpers,5,Cycling,Cool Down,5 min Cool Down Ride,2021-08-16 08:00 (-05),13,45,25%,88,18.17,1.51,18,,,
2021-08-29 10:04 (-05),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-08-16 08:00 (-05),,,,,,,15,,,
2021-08-30 06:34 (CDT),On Demand,Emma Lovewell,10,Strength,Core,10 min Core Strength,2019-04-30 14:03 (CDT),,,,,,,61,,,
2021-08-31 11:32 (CDT),On Demand,Leanne Hainsby-Alldis,10,Strength,Arms & Light Weights,10 min Arms & Light Weights,2021-08-26 13:02 (CDT),,,,,,,80,,,
2021-08-31 11:57 (-05),On Demand,Mayla Wedekind,5,Cycling,Warm Up,5 min Warm Up Ride,2021-08-29 23:55 (-05),27,90,32%,95,24.28,2.01,36,,,
2021-08-31 12:04 (-05),On Demand,Mayla Wedekind,20,Cycling,Intervals,20 min Tabata Ride,2021-08-24 10:55 (-05),226,188,48%,84,32.77,10.93,302,,,
2021-08-31 12:26 (-05),On Demand,Matt Wilpers,5,Cycling,Cool Down,5 min Cool Down Ride,2021-08-16 08:00 (-05),18,61,29%,88,21.07,1.75,24,,,
2021-08-31 12:42 (-05),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-07-19 03:45 (-05),,,,,,,15,,,
2021-09-01 16:05 (CDT),On Demand,Aditi Shah,10,Meditation,Theme,Zen in Ten,2021-09-01 10:07 (CDT),,,,,,,,,,
2021-09-01 18:55 (CDT),On Demand,Kristin McGee,5,Yoga,Yoga Anywhere,5 min Chair Yoga,2020-01-24 10:18 (CDT),,,,,,,18,,,
2021-09-02 11:45 (-05),On Demand,Leanne Hainsby-Alldis,30,Cycling,Music,30 min 2000s Rock Ride,2021-09-01 11:25 (-05),254,143,43%,85,29.76,14.64,339,,,
2021-09-02 12:15 (-05),On Demand,Leanne Hainsby-Alldis,5,Cycling,Cool Down,5 min Spice Girls Cool Down Ride,2021-07-13 13:05 (-05),22,74,34%,80,22.51,1.87,30,,,
2021-09-02 12:27 (CDT),On Demand,Leanne Hainsby-Alldis,10,Strength,Arms & Light Weights,10 min Arms & Light Weights,2021-08-26 13:02 (CDT),,,,,,,80,,,
2021-09-02 12:41 (CDT),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-07-19 03:45 (CDT),,,,,,,15,,,
2021-09-03 06:07 (CDT),On Demand,Andy Speer,10,Strength,Core,10 min Core Strength,2021-07-22 09:00 (CDT),,,,,,,61,,,
2021-09-04 07:05 (CDT),On Demand,Leanne Hainsby-Alldis,10,Strength,Arms & Light Weights,10 min Arms & Light Weights,2021-08-26 13:02 (CDT),,,,,,,80,,,
2021-09-04 07:18 (CDT),On Demand,Hannah Corbin,5,Strength,Lower Body,5 min Glutes & Legs Toning,2020-01-05 14:20 (CDT),,,,,,,31,,,
2021-09-05 09:12 (-05),On Demand,Hannah Corbin,45,Cycling,Music,45 min 90s Ride,2021-08-15 12:23 (-05),372,138,45%,76,28.94,21.71,497,,,
2021-09-05 09:59 (-05),On Demand,Hannah Corbin,5,Cycling,Cool Down,5 min Cool Down Ride,2021-05-25 08:00 (-05),22,74,41%,62,22.84,1.90,30,,,
2021-09-05 10:14 (CDT),On Demand,Hannah Corbin,10,Stretching,Full Body Stretch,10 min Full Body Stretch,2019-11-25 07:00 (CDT),,,,,,,31,,,
2021-09-05 18:47 (CDT),On Demand,Kristin McGee,10,Meditation,Breath,10 min Breathwork,2021-08-10 10:08 (CDT),,,,,,,,,,
2021-09-06 07:29 (CDT),On Demand,Ben Alldis,10,Strength,Core,10 min MOS Ibiza Chillout Core Strength,2021-08-15 23:40 (CDT),,,,,,,62,,,
2021-09-06 07:44 (CDT),On Demand,Selena Samuela,10,Strength,Bodyweight,10 min Bodyweight Strength,2020-07-18 09:00 (CDT),,,,,,,61,,,
2021-09-07 12:21 (CDT),On Demand,Leanne Hainsby-Alldis,10,Strength,Arms & Light Weights,10 min Arms & Light Weights,2021-08-26 13:02 (CDT),,,,,,,79,,,
2021-09-07 12:40 (-05),On Demand,Erik Jager,30,Cycling,Intervals,30 min HIIT & Hills Ride,2021-08-30 08:00 (-05),302,168,48%,79,30.96,15.48,403,,,
2021-09-07 13:11 (-05),On Demand,Cliff Dwenger,5,Cycling,Cool Down,5 min Cool Down Ride,2021-08-26 00:22 (-05),23,76,36%,75,22.47,1.87,30,,,
2021-09-07 13:22 (-05),On Demand,Bradley Rose,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-08-13 09:43 (-05),,,,,,,15,,,
2021-09-09 11:49 (CDT),On Demand,Hannah Corbin,5,Strength,Lower Body,5 min Glutes & Legs Toning,2020-01-05 14:20 (CDT),,,,,,,30,,,
2021-09-09 12:03 (-05),On Demand,Mayla Wedekind,5,Cycling,Warm Up,5 min Warm Up Ride,2021-08-29 23:55 (-05),25,84,31%,94,23.53,1.95,33,,,
2021-09-09 12:10 (-05),On Demand,Mayla Wedekind,30,Cycling,Intervals,30 min HIIT & Hills Ride,2021-09-04 09:00 (-05),331,184,54%,72,32.15,16.08,441,,,
2021-09-09 12:41 (-05),On Demand,Mayla Wedekind,5,Cycling,Cool Down,5 min Cool Down Ride,2021-08-26 11:22 (-05),29,98,42%,71,25.67,2.12,39,,,
2021-09-09 12:57 (-05),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-07-19 03:45 (-05),,,,,,,15,,,
2021-09-10 06:30 (CDT),On Demand,Leanne Hainsby-Alldis,10,Strength,Arms & Light Weights,10 min Arms & Light Weights,2021-07-12 13:02 (CDT),,,,,,,61,,,
2021-09-11 09:06 (CDT),On Demand,Ben Alldis,10,Strength,Core,10 min MOS Ibiza Chillout Core Strength,2021-08-15 23:40 (CDT),,,,,,,62,,,
2021-09-11 09:28 (CDT),On Demand,Selena Samuela,10,Strength,Bodyweight,10 min Bodyweight Strength,2020-07-18 09:00 (CDT),,,,,,,61,,,
2021-09-12 08:50 (-05),On Demand,Denis Morton,30,Cycling,Music,30 min Rock Ride,2021-08-23 06:52 (-05),219,121,40%,81,26.96,13.47,291,,,
2021-09-12 09:23 (-05),On Demand,Tunde Oyeneyin,5,Cycling,Cool Down,5 min Cool Down Ride,2020-10-12 07:30 (-05),18,61,29%,90,21.11,1.75,24,,,
2021-09-12 09:31 (-05),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-07-19 03:45 (-05),,,,,,,11,,,
2021-09-12 19:38 (CDT),On Demand,Kristin McGee,10,Meditation,Breath,10 min Breathwork,2021-08-10 10:08 (CDT),,,,,,,,,,
2021-09-13 06:30 (CDT),On Demand,Ben Alldis,10,Strength,Arms & Light Weights,10 min Arms Toning,2020-09-09 12:02 (CDT),,,,,,,61,,,
2021-09-13 19:17 (CDT),On Demand,Kristin McGee,10,Meditation,Breath,10 min Breathwork,2021-05-18 10:08 (CDT),,,,,,,,,,
2021-09-14 06:45 (CDT),On Demand,Ben Alldis,10,Strength,Core,10 min MOS Ibiza Chillout Core Strength,2021-08-15 23:40 (CDT),,,,,,,62,,,
2021-09-14 07:13 (CDT),On Demand,Kristin McGee,10,Meditation,Breath,10 min Breathwork: Alternate Nostril,2021-09-07 09:58 (CDT),,,,,,,,54.44,,
2021-09-14 11:45 (-05),On Demand,Bradley Rose,30,Cycling,Music,30 min 90s Ride,2021-09-01 12:55 (-05),264,147,45%,82,30.03,15.02,352,,,
2021-09-14 12:16 (-05),On Demand,Bradley Rose,5,Cycling,Cool Down,5 min Cool Down Ride,2021-04-06 00:35 (-05),27,91,38%,77,24.88,2.06,36,,,
2021-09-14 12:28 (-05),On Demand,Bradley Rose,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-08-13 09:43 (-05),,,,,,,15,,,
2021-09-15 06:31 (CDT),On Demand,Kristin McGee,10,Meditation,Breath,10 min Breathwork: Alternate Nostril,2021-09-07 09:58 (CDT),,,,,,,,,,
2021-09-15 06:47 (CDT),On Demand,Leanne Hainsby-Alldis,10,Strength,Arms & Light Weights,10 min Arms & Light Weights,2021-08-26 13:02 (CDT),,,,,,,79,,,
2021-09-16 06:42 (CDT),On Demand,Ben Alldis,10,Strength,Core,10 min MOS Ibiza Chillout Core Strength,2021-08-15 23:40 (CDT),,,,,,,62,,,
2021-09-16 06:55 (CDT),On Demand,Hannah Corbin,5,Strength,Lower Body,5 min Glutes & Legs Toning,2020-01-05 14:20 (CDT),,,,,,,30,,,
2021-09-16 11:56 (-05),On Demand,Alex Toussaint,30,Cycling,Music,30 min 2000s Ride,2021-09-11 12:24 (-05),276,153,46%,81,30.46,15.22,368,,,
2021-09-16 12:28 (-05),On Demand,Alex Toussaint,5,Cycling,Cool Down,5 min Cool Down Ride,2021-06-23 08:00 (-05),28,94,39%,78,25.19,2.11,38,,,
2021-09-16 12:36 (-05),On Demand,Alex Toussaint,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-07-08 08:00 (-05),,,,,,,15,,,
2021-09-17 06:56 (CDT),On Demand,Leanne Hainsby-Alldis,10,Strength,Arms & Light Weights,10 min Arms & Light Weights,2021-08-26 13:02 (CDT),,,,,,,79,,,
2021-09-18 10:05 (-05),On Demand,Emma Lovewell,30,Cycling,Music,30 min 90s Ride,2021-07-12 06:52 (-05),285,158,47%,77,30.38,15.19,380,,,
2021-09-18 10:36 (-05),On Demand,Emma Lovewell,5,Cycling,Cool Down,5 min Cool Down Ride,2021-06-30 08:00 (-05),28,95,37%,81,25.17,2.09,38,,,
2021-09-18 10:47 (CDT),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-07-19 03:45 (CDT),,,,,,,15,,,
2021-09-18 19:10 (CDT),On Demand,Kristin McGee,10,Meditation,Breath,10 min Breathwork: Alternate Nostril,2021-09-07 09:58 (CDT),,,,,,,,,,
2021-09-21 11:37 (-05),On Demand,Leanne Hainsby-Alldis,30,Cycling,Music,30 min Rock Ride,2021-09-19 04:25 (-05),277,154,44%,81,29.98,15.00,369,,,
2021-09-21 12:25 (-05),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-07-19 03:45 (-05),,,,,,,15,,,
2021-09-23 06:48 (CDT),On Demand,Anna Greenberg,10,Meditation,Emotions,10 min Kindness Meditation,2021-09-21 17:38 (CDT),,,,,,,,,,
2021-09-23 11:47 (-05),On Demand,Mayla Wedekind,30,Cycling,Climb,30 min Climb Ride,2021-09-09 07:25 (-05),306,170,53%,70,31.45,15.72,407,,,
2021-09-23 12:19 (-05),On Demand,Mayla Wedekind,5,Cycling,Cool Down,5 min Cool Down Ride,2021-08-26 11:22 (-05),30,100,42%,72,25.99,2.16,40,,,
2021-09-23 12:29 (-05),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-09-07 08:00 (-05),,,,,,,15,,,
2021-09-24 06:27 (CDT),On Demand,Ben Alldis,10,Strength,Core,10 min MOS Ibiza Chillout Core Strength,2021-08-15 23:40 (CDT),,,,,,,61,,,
2021-09-24 14:59 (CDT),On Demand,Kristin McGee,10,Meditation,Breath,10 min Breathwork: Alternate Nostril,2021-09-07 09:58 (CDT),,,,,,,,,,
2021-09-25 06:18 (CDT),On Demand,Olivia Amato,10,Strength,Arms & Light Weights,10 min Arms & Light Weights,2021-09-10 07:36 (CDT),,,,,,,61,,,
2021-09-25 06:33 (CDT),On Demand,Selena Samuela,10,Strength,Bodyweight,10 min Bodyweight Strength,2020-07-18 09:00 (CDT),,,,,,,61,,,
2021-09-26 08:12 (CDT),On Demand,Kristin McGee,10,Meditation,Breath,10 min Breathwork,2021-05-18 10:08 (CDT),,,,,,,,,,
2021-09-26 11:33 (-05),On Demand,Matt Wilpers,15,Cycling,Power Zone,15 min Intro to Power Zone Ride,2020-12-23 10:00 (-05),102,113,38%,89,27.17,6.79,135,,,
2021-09-26 11:50 (-05),On Demand,Matt Wilpers,20,Cycling,Power Zone,20 min Power Zone Beginner Ride,2021-01-02 09:00 (-05),132,110,36%,93,26.54,8.85,176,,,
2021-09-26 12:18 (-05),On Demand,Erik Jager,5,Cycling,Cool Down,5 min Cool Down Ride,2021-09-22 01:02 (-05),25,85,36%,81,24.06,2.00,34,,,
2021-09-26 12:25 (-05),On Demand,Bradley Rose,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-08-13 09:43 (-05),,,,,,,15,,,
2021-09-26 12:40 (CDT),On Demand,Ben Alldis,10,Strength,Core,10 min MOS Ibiza Chillout Core Strength,2021-08-15 23:40 (CDT),,,,,,,61,,,
2021-09-27 06:37 (CDT),On Demand,Leanne Hainsby-Alldis,10,Strength,Arms & Light Weights,10 min Arms & Light Weights,2021-08-26 13:02 (CDT),,,,,,,79,,,
2021-09-27 15:43 (CDT),On Demand,Kristin McGee,10,Meditation,Breath,10 min Breathwork,2021-05-18 10:08 (CDT),,,,,,,,,,
2021-09-28 12:25 (-05),On Demand,Denis Morton,10,Cycling,Power Zone,10 min FTP Warm Up Ride,2021-02-13 12:00 (-05),68,113,36%,90,26.70,4.46,90,,,
2021-09-28 12:37 (-05),On Demand,Denis Morton,20,Cycling,Power Zone,20 min FTP Test Ride,2021-02-27 14:00 (-05),209,174,46%,85,32.36,10.80,279,,,
2021-09-28 13:04 (-05),On Demand,Denis Morton,5,Cycling,Cool Down,5 min Cool Down Ride,2021-09-20 08:00 (-05),17,57,29%,83,20.44,1.71,23,,,
2021-09-29 07:01 (CDT),On Demand,Ben Alldis,10,Strength,Core,10 min MOS Ibiza Chillout Core Strength,2021-08-15 23:40 (CDT),,,,,,,61,,,
2021-09-29 07:15 (CDT),On Demand,Kristin McGee,10,Meditation,Breath,10 min Breathwork: Alternate Nostril,2021-09-07 09:58 (CDT),,,,,,,,,,
